,0
0,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2007-05"",97.56831,"
1,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2007-06"",97.56831,"
2,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2007-07"",98.37052,"
3,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2007-08"",98.47079,"
4,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2007-09"",99.6741,"
5,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2007-10"",99.6741,"
6,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2007-11"",99.57383,"
7,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2007-12"",100.5766,"
8,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2008-01"",101.9804,"
9,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2008-02"",101.4791,"
10,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2008-03"",100.9777,"
11,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2008-04"",101.3788,"
12,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2008-05"",99.07245,"
13,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2008-06"",100.0752,"
14,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2008-07"",98.47079,"
15,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2008-08"",100.5766,"
16,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2008-09"",98.16997,"
17,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2008-10"",96.06418,"
18,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2008-11"",92.05315,"
19,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2008-12"",88.34294,"
20,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2009-01"",81.52419,"
21,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2009-02"",79.0173,"
22,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2009-03"",79.21785,"
23,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2009-04"",77.01178,"
24,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2009-05"",80.42116,"
25,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2009-06"",81.12309,"
26,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2009-07"",80.2206,"
27,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2009-08"",81.32364,"
28,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2009-09"",84.93357,"
29,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2009-10"",83.1286,"
30,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2009-11"",83.93081,"
31,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2009-12"",84.03108,"
32,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2010-01"",84.83329,"
33,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2010-02"",84.03108,"
34,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2010-03"",86.73853,"
35,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2010-04"",88.34294,"
36,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2010-05"",91.05039,"
37,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2010-06"",90.84984,"
38,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2010-07"",90.34846,"
39,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2010-08"",91.85259,"
40,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2010-09"",93.15618,"
41,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2010-10"",95.06142,"
42,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2010-11"",94.56004,"
43,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2010-12"",95.9639,"
44,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2011-01"",95.86362,"
45,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2011-02"",96.86638,"
46,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2011-03"",97.46804,"
47,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2011-04"",97.96941,"
48,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2011-05"",99.17272,"
49,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2011-06"",97.76887,"
50,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2011-07"",100.6769,"
51,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2011-08"",99.97493,"
52,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2011-09"",98.37052,"
53,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2011-10"",99.57383,"
54,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2011-11"",98.67135,"
55,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2011-12"",97.46804,"
56,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2012-01"",97.86914,"
57,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2012-02"",97.86914,"
58,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2012-03"",99.07245,"
59,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2012-04"",97.16721,"
60,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2012-05"",99.07245,"
61,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2012-06"",97.76887,"
62,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2012-07"",98.87189,"
63,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2012-08"",98.77162,"
64,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2012-09"",97.66859,"
65,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2012-10"",96.16445,"
66,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2012-11"",95.66307,"
67,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2012-12"",96.36501,"
68,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-01"",95.26197,"
69,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-02"",95.86362,"
70,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-03"",97.16721,"
71,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-04"",97.46804,"
72,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-05"",96.76611,"
73,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-06"",98.47079,"
74,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-07"",96.96666,"
75,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-08"",99.07245,"
76,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-09"",98.47079,"
77,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-10"",97.86914,"
78,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-11"",99.87466,"
79,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-12"",100.2758,"
80,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-01"",99.6741,"
81,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-02"",99.87466,"
82,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-03"",100.0752,"
83,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-04"",99.77438,"
84,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-05"",98.97218,"
85,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-06"",98.97218,"
86,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-07"",101.078,"
87,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-08"",97.16721,"
88,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-09"",99.37328,"
89,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-10"",99.6741,"
90,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-11"",99.77438,"
91,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-12"",101.4791,"
92,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2015-01"",98.77162,"
93,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2015-02"",99.6741,"
94,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2015-03"",99.6741,"
95,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2015-04"",100.4763,"
96,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2015-05"",100.7771,"
