,Features
0,Net_Injection_EMA_mean
1,EU_clean_spark_spread_EMA100
2,Net_Injection_EMA30
3,Electricity_price_EMA_mean
4,Oil_R2
5,Net_Injection
6,Industrial_prod_EMA30
7,EU_spark_spread
8,Google_data_EMA100
9,Shipping_price_EMA30
10,CO2_spot
11,Relav_R2
12,Net_Injection_EMA60
13,PINDUINDEXM_EMA30
14,Weighted_Average_Temperature
15,Full (%)
16,R2
17,PINDUINDEXM_EMA_mean
18,Oil_Price_EMA100
19,Gas_consumtion_EMA_mean
20,Target_EMA30
21,Google_data
22,Gas_prod
23,Coal_Future_Price
24,Average_temp_EMA_mean
25,Target_EMA_mean
26,Average_temp
27,Shipping_price_EMA60
28,day_of_week
29,Oil_Price
30,Electricity_price_EMA100
31,Coal_prod
32,Oil_Price_EMA30
33,Shipping_price_EMA100
34,Electricity_price_EMA60
35,Oil_Volume
36,Electricity_price
37,Sun_energy
38,Wind_energy
39,Shipping_price
40,Gas_consumtion
41,EU_clean_spark_spread_EMA30
42,EU_clean_spark_spread_EMA_mean
43,Net_Injection_EMA100
44,Target_EMA60
45,Target_EMA100
