,Date,Industrial_prod
0,2007-05-01,97.56831
1,2007-05-02,97.56831
2,2007-05-03,97.56831
3,2007-05-04,97.56831
4,2007-05-05,97.56831
5,2007-05-06,97.56831
6,2007-05-07,97.56831
7,2007-05-08,97.56831
8,2007-05-09,97.56831
9,2007-05-10,97.56831
10,2007-05-11,97.56831
11,2007-05-12,97.56831
12,2007-05-13,97.56831
13,2007-05-14,97.56831
14,2007-05-15,97.56831
15,2007-05-16,97.56831
16,2007-05-17,97.56831
17,2007-05-18,97.56831
18,2007-05-19,97.56831
19,2007-05-20,97.56831
20,2007-05-21,97.56831
21,2007-05-22,97.56831
22,2007-05-23,97.56831
23,2007-05-24,97.56831
24,2007-05-25,97.56831
25,2007-05-26,97.56831
26,2007-05-27,97.56831
27,2007-05-28,97.56831
28,2007-05-29,97.56831
29,2007-05-30,97.56831
30,2007-05-31,97.56831
31,2007-06-01,97.56831
32,2007-06-02,97.56831
33,2007-06-03,97.56831
34,2007-06-04,97.56831
35,2007-06-05,97.56831
36,2007-06-06,97.56831
37,2007-06-07,97.56831
38,2007-06-08,97.56831
39,2007-06-09,97.56831
40,2007-06-10,97.56831
41,2007-06-11,97.56831
42,2007-06-12,97.56831
43,2007-06-13,97.56831
44,2007-06-14,97.56831
45,2007-06-15,97.56831
46,2007-06-16,97.56831
47,2007-06-17,97.56831
48,2007-06-18,97.56831
49,2007-06-19,97.56831
50,2007-06-20,97.56831
51,2007-06-21,97.56831
52,2007-06-22,97.56831
53,2007-06-23,97.56831
54,2007-06-24,97.56831
55,2007-06-25,97.56831
56,2007-06-26,97.56831
57,2007-06-27,97.56831
58,2007-06-28,97.56831
59,2007-06-29,97.56831
60,2007-06-30,97.56831
61,2007-07-01,98.37052
62,2007-07-02,98.37052
63,2007-07-03,98.37052
64,2007-07-04,98.37052
65,2007-07-05,98.37052
66,2007-07-06,98.37052
67,2007-07-07,98.37052
68,2007-07-08,98.37052
69,2007-07-09,98.37052
70,2007-07-10,98.37052
71,2007-07-11,98.37052
72,2007-07-12,98.37052
73,2007-07-13,98.37052
74,2007-07-14,98.37052
75,2007-07-15,98.37052
76,2007-07-16,98.37052
77,2007-07-17,98.37052
78,2007-07-18,98.37052
79,2007-07-19,98.37052
80,2007-07-20,98.37052
81,2007-07-21,98.37052
82,2007-07-22,98.37052
83,2007-07-23,98.37052
84,2007-07-24,98.37052
85,2007-07-25,98.37052
86,2007-07-26,98.37052
87,2007-07-27,98.37052
88,2007-07-28,98.37052
89,2007-07-29,98.37052
90,2007-07-30,98.37052
91,2007-07-31,98.37052
92,2007-08-01,98.47079
93,2007-08-02,98.47079
94,2007-08-03,98.47079
95,2007-08-04,98.47079
96,2007-08-05,98.47079
97,2007-08-06,98.47079
98,2007-08-07,98.47079
99,2007-08-08,98.47079
100,2007-08-09,98.47079
101,2007-08-10,98.47079
102,2007-08-11,98.47079
103,2007-08-12,98.47079
104,2007-08-13,98.47079
105,2007-08-14,98.47079
106,2007-08-15,98.47079
107,2007-08-16,98.47079
108,2007-08-17,98.47079
109,2007-08-18,98.47079
110,2007-08-19,98.47079
111,2007-08-20,98.47079
112,2007-08-21,98.47079
113,2007-08-22,98.47079
114,2007-08-23,98.47079
115,2007-08-24,98.47079
116,2007-08-25,98.47079
117,2007-08-26,98.47079
118,2007-08-27,98.47079
119,2007-08-28,98.47079
120,2007-08-29,98.47079
121,2007-08-30,98.47079
122,2007-08-31,98.47079
