,Date,Average_temp,Weighted_Average_Temperature
1,2010-01-02,-2.1454545454545455,-2.08531533428155
2,2010-01-03,-3.0100000000000002,-3.3045421420859684
3,2010-01-04,-4.64,-4.7781425669290165
4,2010-01-05,-4.880000000000001,-5.0336683332755765
5,2010-01-06,-5.82,-5.812411194906314
6,2010-01-07,-4.8,-4.827463176339485
7,2010-01-08,-4.68,-4.814332142986301
8,2010-01-09,-2.63,-2.50758215454463
9,2010-01-10,-2.27,-2.296855866088854
10,2010-01-11,-2.4699999999999998,-2.6241486000829175
11,2010-01-12,-3.2699999999999996,-3.1076789172644337
12,2010-01-13,-3.0300000000000002,-2.8724885933350355
13,2010-01-14,0.039999999999999994,-1.1216419321229492
14,2010-01-15,-0.49000000000000005,-1.3731899132835863
15,2010-01-16,-0.96,-1.4187670674141308
16,2010-01-17,2.0,0.6262081977624586
17,2010-01-18,2.71,1.7559481173265599
18,2010-01-19,2.1100000000000003,1.603594812236104
19,2010-01-20,0.6599999999999999,-0.3389871782683618
20,2010-01-21,-0.82,-2.8987947537018743
21,2010-01-22,-0.8300000000000001,-2.880053370530315
22,2010-01-23,-3.2399999999999998,-5.307080434975779
23,2010-01-24,-3.47,-6.076872350656952
24,2010-01-25,-3.9799999999999995,-5.792381882481291
25,2010-01-26,-7.62,-8.68630507963164
26,2010-01-27,-6.590000000000001,-7.353985567654066
27,2010-01-28,0.82,0.4026847375437088
28,2010-01-29,0.74,0.6612909935740727
29,2010-01-30,-1.7,-1.9314631384130627
30,2010-01-31,-1.73,-2.305710963915946
31,2010-02-01,-0.74,-0.8117682581527335
32,2010-02-02,0.13999999999999996,-0.3819082074873973
33,2010-02-03,1.7600000000000002,1.7340366558864448
34,2010-02-04,3.06,1.8878639394660748
35,2010-02-05,2.29,1.7855822792319365
36,2010-02-06,1.94,0.7864822346180461
37,2010-02-07,-0.5399999999999999,-1.902631447565086
38,2010-02-08,-3.16,-3.4848400289549772
39,2010-02-09,-4.46,-4.303875316721282
40,2010-02-10,-4.89,-4.871679216648222
41,2010-02-11,-3.85,-3.796480377733733
42,2010-02-12,-3.08,-2.600044018143262
43,2010-02-13,-3.1,-2.832159767903726
44,2010-02-14,-3.75,-3.2510550971054846
45,2010-02-15,-3.4200000000000004,-3.219124641408621
46,2010-02-16,-1.8699999999999999,-2.0186088672477074
47,2010-02-17,-1.29,-1.8354117655647055
48,2010-02-18,3.05,2.2216183120174815
49,2010-02-19,3.12,2.9894028795383853
50,2010-02-20,1.7,2.048135115058442
51,2010-02-21,1.58,1.1538165181816498
52,2010-02-22,5.11,3.948115363112343
53,2010-02-23,4.880000000000001,4.392629260083205
54,2010-02-24,6.069999999999999,3.9180978842342964
55,2010-02-25,8.01,7.219854498472161
56,2010-02-26,7.58,7.383501838802135
57,2010-02-27,7.12,6.9217417407036
58,2010-02-28,7.709999999999999,7.5401438753905605
59,2010-03-01,4.9799999999999995,5.095435295049521
60,2010-03-02,2.44,2.9076304687781223
61,2010-03-03,1.89,2.009566310530296
62,2010-03-04,0.72,0.3703955331401827
63,2010-03-05,-0.71,-1.0848496532039897
64,2010-03-06,-1.65,-1.9590506160819943
65,2010-03-07,-2.9899999999999998,-2.6844835205922433
66,2010-03-08,-2.23,-1.979565982449968
67,2010-03-09,-2.21,-2.3693723084931775
68,2010-03-10,-0.37,-0.7988583391936086
69,2010-03-11,-1.1099999999999999,-0.9449608078260668
70,2010-03-12,1.7400000000000002,1.72652620073834
71,2010-03-13,3.6700000000000004,3.5088641598924233
72,2010-03-14,4.29,3.9469527085212697
73,2010-03-15,4.07,3.053972343751324
74,2010-03-16,4.220000000000001,3.687435060442717
75,2010-03-17,7.210000000000001,6.748317480732414
76,2010-03-18,10.64,10.249359098015718
77,2010-03-19,12.84,12.313517001819042
78,2010-03-20,13.39,13.198232922433
79,2010-03-21,10.73,10.937407593154884
80,2010-03-22,8.879999999999999,8.91712083416647
81,2010-03-23,9.65,9.563681448936983
82,2010-03-24,11.89,10.882260730219548
83,2010-03-25,14.73,14.277721952844871
84,2010-03-26,11.77,13.176410856589209
85,2010-03-27,8.91,8.723357607641603
86,2010-03-28,8.82,8.589386047591114
87,2010-03-29,10.040000000000001,9.475621819204582
88,2010-03-30,11.76,11.277993839977183
89,2010-03-31,8.03,8.593416401146754
90,2010-04-01,5.5200000000000005,6.084780739553474
91,2010-04-02,6.890000000000001,6.956251662951919
92,2010-04-03,9.09,8.823433141634293
93,2010-04-04,8.89,9.451362980775082
94,2010-04-05,7.359999999999999,7.3329821167692435
95,2010-04-06,9.690000000000001,9.044771133764222
96,2010-04-07,12.620000000000001,11.603065637965624
97,2010-04-08,10.95,11.204493005553955
98,2010-04-09,9.5,9.543398683969953
99,2010-04-10,8.28,8.161791043373476
100,2010-04-11,5.64,5.776634756729276
101,2010-04-12,7.1,7.104932985607341
102,2010-04-13,9.01,8.475381783553745
103,2010-04-14,8.47,7.969786713384411
104,2010-04-15,8.639999999999999,8.4226456985019
105,2010-04-16,8.28,8.32960339283726
106,2010-04-17,8.97,9.0558502973658
107,2010-04-18,11.66,11.41883027531981
108,2010-04-19,10.190000000000001,10.006514962099171
109,2010-04-20,9.809999999999999,9.400951961572144
110,2010-04-21,7.06,6.97630596318301
111,2010-04-22,6.470000000000001,6.668868466051617
112,2010-04-23,8.99,8.359829055884665
113,2010-04-24,12.0,11.169399746413204
114,2010-04-25,15.76,14.971137187670255
115,2010-04-26,13.0,13.030721181814148
116,2010-04-27,12.6,12.475488825005058
117,2010-04-28,14.88,14.304660779624584
118,2010-04-29,19.04,18.492167052797356
119,2010-04-30,16.130000000000003,16.91879166085254
120,2010-05-01,12.69,12.895615646931196
121,2010-05-02,10.58,10.894949811681053
122,2010-05-03,8.84,8.886617804793548
123,2010-05-04,8.48,8.270356876718909
124,2010-05-05,7.83,7.9303981191851225
125,2010-05-06,6.959999999999999,7.140110639426882
126,2010-05-07,7.109999999999999,7.799833996388433
127,2010-05-08,9.41,9.421524427342499
128,2010-05-09,10.72,10.80701756270215
129,2010-05-10,9.65,9.572684963256263
130,2010-05-11,9.6,9.705263440532251
131,2010-05-12,9.3,10.384553885851373
132,2010-05-13,8.05,8.43717916198215
133,2010-05-14,8.620000000000001,8.773699520205595
134,2010-05-15,8.72,8.258579212477994
135,2010-05-16,11.08,10.824237341196744
136,2010-05-17,10.629999999999999,11.08170936227981
137,2010-05-18,9.73,9.798896643201234
138,2010-05-19,10.459999999999999,10.663142029498196
139,2010-05-20,12.55,12.84687471602382
140,2010-05-21,14.209999999999999,14.203600954302606
141,2010-05-22,15.180000000000001,15.207636115787352
142,2010-05-23,16.59,16.545255996213395
143,2010-05-24,17.9,16.7478841629752
144,2010-05-25,15.84,14.850747213435888
145,2010-05-26,12.34,12.648418405289627
146,2010-05-27,13.02,12.511961439569493
147,2010-05-28,14.080000000000002,13.82578579643765
148,2010-05-29,14.76,14.494891923543355
149,2010-05-30,13.52,14.05699969449093
150,2010-05-31,11.07,11.15339410846604
151,2010-06-01,12.99,12.12890751012791
152,2010-06-02,14.13,13.552449614706996
153,2010-06-03,16.119999999999997,16.04147734991311
154,2010-06-04,17.02,16.636242362587833
155,2010-06-05,18.89,18.441626060083344
156,2010-06-06,20.48,20.531089974309882
157,2010-06-07,17.6,17.933314778474873
158,2010-06-08,18.56,18.736202615362398
159,2010-06-09,20.86,21.50367288025076
160,2010-06-10,21.96,22.546401491615953
161,2010-06-11,21.04,21.72172933070858
162,2010-06-12,16.36,16.712134776741337
163,2010-06-13,14.15,14.081548628091413
164,2010-06-14,16.43,15.802149026839071
165,2010-06-15,15.39,15.485360678171407
166,2010-06-16,15.74,15.583250710512072
167,2010-06-17,16.759999999999998,16.93058449566208
168,2010-06-18,14.830000000000002,15.34289497578121
169,2010-06-19,12.07,12.357924654464709
170,2010-06-20,12.25,12.656265885360009
171,2010-06-21,13.27,13.46031180385193
172,2010-06-22,15.2,15.344749149864995
173,2010-06-23,17.1,16.74914499833149
174,2010-06-24,19.6,19.250644870833263
175,2010-06-25,19.86,19.92923616942135
176,2010-06-26,19.6,19.393735478145192
177,2010-06-27,21.009999999999998,20.277550235097664
178,2010-06-28,22.89,22.545317911935687
179,2010-06-29,22.78,23.39787396395631
180,2010-06-30,22.06,22.056088562557576
181,2010-07-01,23.46,22.918078207805404
182,2010-07-02,26.22,25.76946351650256
183,2010-07-03,25.72,26.176346633396584
184,2010-07-04,22.830000000000002,23.79506885197813
185,2010-07-05,20.830000000000002,21.8435638317198
186,2010-07-06,18.03,18.1450032904527
187,2010-07-07,19.2,18.9585561126022
188,2010-07-08,23.8,23.195170229638613
189,2010-07-09,26.410000000000004,26.2131365880636
190,2010-07-10,28.330000000000002,28.378381948097356
191,2010-07-11,26.85,27.590464307503403
192,2010-07-12,25.93,27.205022716835714
193,2010-07-13,23.19,23.6253297144367
194,2010-07-14,25.529999999999998,26.046604851074605
195,2010-07-15,21.830000000000002,23.11344911184628
196,2010-07-16,24.38,25.127576301121692
197,2010-07-17,20.21,21.24444275136722
198,2010-07-18,18.46,18.598418157760992
199,2010-07-19,20.96,20.6802691987196
200,2010-07-20,23.2,22.802594771372906
201,2010-07-21,24.61,25.13053920211703
202,2010-07-22,21.36,22.667974887674447
203,2010-07-23,18.73,18.46799287755228
204,2010-07-24,16.97,17.211659916127232
205,2010-07-25,16.41,17.114942129063447
206,2010-07-26,16.82,17.4145113033742
207,2010-07-27,17.96,18.51999768749518
208,2010-07-28,18.32,18.536652655986465
209,2010-07-29,16.11,16.966624195227766
210,2010-07-30,17.16,17.239667781328674
211,2010-07-31,19.43,19.534487980303098
212,2010-08-01,21.509999999999998,22.050755621018723
213,2010-08-02,18.669999999999998,19.68983710350213
214,2010-08-03,17.35,17.43026588854851
215,2010-08-04,17.75,17.999267726385703
216,2010-08-05,17.11,17.89651159151432
217,2010-08-06,16.61,17.200454143725867
218,2010-08-07,18.78,18.770423457726682
219,2010-08-08,17.98,18.813667415321923
220,2010-08-09,17.919999999999998,18.335415541425256
221,2010-08-10,20.369999999999997,20.42814666583542
222,2010-08-11,19.6,19.969646343670604
223,2010-08-12,18.18,18.696579582176696
224,2010-08-13,17.41,18.182100826720472
225,2010-08-14,17.86,17.633504561617137
226,2010-08-15,17.41,18.3965373680557
227,2010-08-16,16.68,17.30069791328325
228,2010-08-17,15.790000000000001,16.390090438572916
229,2010-08-18,16.630000000000003,16.76700551518974
230,2010-08-19,17.02,17.2193145588037
231,2010-08-20,19.740000000000002,19.39949662744331
232,2010-08-21,22.3,22.342591321075435
233,2010-08-22,21.93,22.45425950214188
234,2010-08-23,20.35,20.52164696660369
235,2010-08-24,18.06,18.684052401224957
236,2010-08-25,16.740000000000002,16.829385718671706
237,2010-08-26,19.04,17.917554798015374
238,2010-08-27,17.32,17.17312979319276
239,2010-08-28,13.49,13.792054582497647
240,2010-08-29,12.86,13.018334781725471
241,2010-08-30,12.059999999999999,12.18382981844068
242,2010-08-31,13.52,13.556610336141372
243,2010-09-01,13.069999999999999,13.510258090137846
244,2010-09-02,13.73,13.729904404440646
245,2010-09-03,14.14,13.675836967738965
246,2010-09-04,13.51,13.272041883859059
247,2010-09-05,13.040000000000001,12.960080737967612
248,2010-09-06,13.73,13.141679232590745
249,2010-09-07,13.209999999999999,13.35293699439654
250,2010-09-08,15.05,14.753055296303106
251,2010-09-09,14.66,14.456887694076084
252,2010-09-10,15.459999999999999,15.55902437804654
253,2010-09-11,17.14,16.786595627905893
254,2010-09-12,16.130000000000003,16.793097458401135
255,2010-09-13,14.4,14.674372747751619
256,2010-09-14,15.14,14.558483246884308
257,2010-09-15,14.8,14.998448532461452
258,2010-09-16,13.059999999999999,13.272462858747659
259,2010-09-17,12.23,12.482639801446794
260,2010-09-18,10.959999999999999,11.30287390815748
261,2010-09-19,11.27,11.483820345226091
262,2010-09-20,14.11,13.88747097307199
263,2010-09-21,14.62,14.469025365643848
264,2010-09-22,15.469999999999999,14.671441740191762
265,2010-09-23,17.3,16.992481103705856
266,2010-09-24,15.8,16.51736826211319
267,2010-09-25,11.709999999999999,12.432973415508366
268,2010-09-26,10.35,10.756291527648571
269,2010-09-27,10.33,11.567067967923307
270,2010-09-28,10.73,10.657637353430532
271,2010-09-29,10.129999999999999,10.006917116420604
272,2010-09-30,10.24,9.487139922400193
273,2010-10-01,11.15,9.942327598192724
274,2010-10-02,12.540000000000001,11.418443417429021
275,2010-10-03,15.940000000000001,14.47688336777897
276,2010-10-04,15.34,14.725968053031206
277,2010-10-05,15.24,14.62707150212879
278,2010-10-06,15.59,15.259479151082502
279,2010-10-07,15.02,14.76138340985884
280,2010-10-08,13.65,13.158423017713066
281,2010-10-09,12.23,11.58627932826266
282,2010-10-10,10.35,9.631678437981867
283,2010-10-11,9.190000000000001,8.27734262150279
284,2010-10-12,6.5200000000000005,7.047383878233364
285,2010-10-13,6.57,6.962784119871658
286,2010-10-14,6.93,7.303827380073844
287,2010-10-15,9.379999999999999,9.044935719330384
288,2010-10-16,7.44,7.302860575174322
289,2010-10-17,6.36,6.33263535851754
290,2010-10-18,5.87,5.588602036296424
291,2010-10-19,7.2299999999999995,6.954569030408516
292,2010-10-20,6.220000000000001,6.528214706842606
293,2010-10-21,5.11,5.165120572037839
