,Date,Oil_Price,Oil_Volume
0,2010-09-14,"79,16",91 965
1,2010-09-15,"78,91",17 660
2,2010-09-16,"78,48",161 823
3,2010-09-17,"78,21",155 045
4,2010-09-18,"78,21",155 045
5,2010-09-19,"78,21",155 045
6,2010-09-20,"79,32",145 672
7,2010-09-21,"78,42",161 032
8,2010-09-22,"77,95",157 455
9,2010-09-23,"78,11",169 286
10,2010-09-24,"78,87",143 196
11,2010-09-25,"78,87",143 196
12,2010-09-26,"78,87",143 196
13,2010-09-27,"78,57",146 394
14,2010-09-28,"78,71",175 700
15,2010-09-29,"80,77",187 726
16,2010-09-30,"82,31",173 945
17,2010-10-01,"83,75",153 491
18,2010-10-02,"83,75",153 491
19,2010-10-03,"83,75",153 491
20,2010-10-04,"83,28",141 040
21,2010-10-05,"84,84",153 860
22,2010-10-06,"85,06",155 267
23,2010-10-07,"83,43",216 161
24,2010-10-08,"84,03",169 157
25,2010-10-09,"84,03",169 157
26,2010-10-10,"84,03",169 157
27,2010-10-11,"83,72",108 238
28,2010-10-12,"83,50",143 197
29,2010-10-13,"84,64",107 293
30,2010-10-14,"84,53",27 957
31,2010-10-15,"82,45",222 424
32,2010-10-16,"82,45",222 424
33,2010-10-17,"82,45",222 424
34,2010-10-18,"84,37",182 884
35,2010-10-19,"81,10",245 994
36,2010-10-20,"83,60",212 200
37,2010-10-21,"81,83",208 824
38,2010-10-22,"82,96",141 969
39,2010-10-23,"82,96",141 969
40,2010-10-24,"82,96",141 969
41,2010-10-25,"83,54",199 144
42,2010-10-26,"83,66",153 047
43,2010-10-27,"83,23",187 587
44,2010-10-28,"83,59",167 934
45,2010-10-29,"83,15",197 774
46,2010-10-30,"83,15",197 774
47,2010-10-31,"83,15",197 774
48,2010-11-01,"84,62",212 003
49,2010-11-02,"85,41",176 791
50,2010-11-03,"86,38",195 888
51,2010-11-04,"88,00",150 413
52,2010-11-05,"88,11",130 633
53,2010-11-06,"88,11",130 633
54,2010-11-07,"88,11",130 633
55,2010-11-08,"88,46",127 019
56,2010-11-09,"88,33",200 879
57,2010-11-10,"88,96",182 373
58,2010-11-11,"88,81",165 062
59,2010-11-12,"86,34",160 867
60,2010-11-13,"86,34",160 867
61,2010-11-14,"86,34",160 867
62,2010-11-15,"86,70",28 407
63,2010-11-16,"84,73",198 212
64,2010-11-17,"83,28",215 567
65,2010-11-18,"85,05",183 976
66,2010-11-19,"84,34",207 656
67,2010-11-20,"84,34",207 656
68,2010-11-21,"84,34",207 656
69,2010-11-22,"83,96",148 048
70,2010-11-23,"83,25",181 850
71,2010-11-24,"85,84",183 965
