,Date,Shipping_price,Gas_consumtion
0,2010-01-04,"3 140,000","5311,513992"
1,2010-01-05,"3 270,000","5414,278858"
2,2010-01-06,"3 259,000","5401,896818"
3,2010-01-07,"3 149,000","5417,167838"
4,2010-01-08,"3 140,000","5307,959084"
5,2010-01-09,"3 148,000","4766,257283"
6,2010-01-10,"3 148,000","4704,201655"
7,2010-01-11,"3 148,000","5104,517315"
8,2010-01-12,"3 160,000","5131,903171"
9,2010-01-13,"3 175,000","5032,035935"
10,2010-01-14,"3 235,000","4835,897275"
11,2010-01-15,"3 299,000","4669,970082"
12,2010-01-16,"3 295,000","4302,676936"
13,2010-01-17,"3 295,000","4137,622749"
14,2010-01-18,"3 295,000","4340,57021"
15,2010-01-19,"3 208,000","4389,652814"
16,2010-01-20,"3 158,000","4521,666547"
17,2010-01-21,"3 170,000","4697,57901"
18,2010-01-22,"3 204,000","4813,536965"
19,2010-01-23,"3 223,000","4674,854057"
20,2010-01-24,"3 223,000","4859,478574"
21,2010-01-25,"3 223,000","5428,194489"
22,2010-01-26,"3 205,000","5771,109102"
23,2010-01-27,"3 118,000","5611,315879"
24,2010-01-28,"2 963,000","5082,941462"
25,2010-01-29,"2 848,000","4778,373509"
26,2010-01-30,"2 745,000","4456,235098"
27,2010-01-31,"2 745,000","4485,234198"
28,2010-02-01,"2 745,000","4906,815429"
29,2010-02-02,"2 691,000","4753,606018"
30,2010-02-03,"2 673,000","4507,326944"
31,2010-02-04,"2 685,000","4368,22503"
32,2010-02-05,"2 715,000","4234,728319"
33,2010-02-06,"2 722,000","3971,520371"
34,2010-02-07,"2 722,000","4203,773491"
35,2010-02-08,"2 722,000","4950,584306"
36,2010-02-09,"2 706,000","5189,451461"
37,2010-02-10,"2 630,000","5359,151038"
38,2010-02-11,"2 575,000","5399,732935"
39,2010-02-12,"2 571,000","5237,841072"
40,2010-02-13,"2 566,000","4786,462815"
41,2010-02-14,"2 566,000","4792,933052"
42,2010-02-15,"2 566,000","5257,016873"
43,2010-02-16,"2 598,000","5190,442825"
44,2010-02-17,"2 661,000","4973,291628"
45,2010-02-18,"2 704,000","4562,315422"
46,2010-02-19,"2 714,000","4263,721308"
47,2010-02-20,"2 721,000","3942,380805"
48,2010-02-21,"2 721,000","3945,968963"
49,2010-02-22,"2 721,000","4046,665633"
50,2010-02-23,"2 724,000","3961,362057"
51,2010-02-24,"2 707,000","3852,783554"
52,2010-02-25,"2 711,000","3543,953048"
53,2010-02-26,"2 738,000","3453,307758"
54,2010-02-27,"2 760,000","3194,621703"
55,2010-02-28,"2 760,000","3130,557935"
