"Status";"Gas Day Start";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working gas volume (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)"
"E";"2023-09-13";"238.5007";"94.04";"0";"905.3031";"26.34";"86.2";"83.2";"253.6277";"4265.12";"6810.03"
"E";"2023-09-12";"238.4977";"94.03";"0";"905.3031";"26.34";"133.15";"121.6";"253.6277";"4265.12";"6810.03"
"E";"2023-09-11";"238.5025";"94.04";"-0.01";"905.3031";"26.35";"132.3";"144.6";"253.6277";"4265.12";"6810.03"
"E";"2023-09-10";"238.5265";"94.05";"0.03";"905.3031";"26.35";"180.91";"102.8";"253.6277";"4265.12";"6810.03"
"E";"2023-09-09";"238.4484";"94.02";"0.05";"905.3031";"26.34";"205.83";"83.8";"253.6277";"4265.12";"6810.03"
"E";"2023-09-08";"238.3263";"93.97";"-0.02";"905.3031";"26.33";"159.5";"210.8";"253.6277";"4265.12";"6810.03"
"E";"2023-09-07";"238.3769";"93.99";"0";"905.3031";"26.33";"149.02";"155.4";"253.6277";"4265.12";"6810.03"
"E";"2023-09-06";"238.3832";"93.99";"0.01";"905.3031";"26.33";"144.1";"130.1";"253.6277";"4265.12";"6810.03"
"C";"2023-09-05";"238.3681";"94.02";"0.03";"905.3031";"26.33";"146.06";"76.7";"253.5177";"4265.12";"6810.03"
"E";"2023-09-04";"238.2944";"94";"0.02";"905.3031";"26.32";"195.48";"148.4";"253.5177";"4265.12";"6810.03"
"E";"2023-09-03";"238.2473";"93.98";"0.12";"905.3031";"26.32";"521.43";"210.4";"253.5177";"4265.12";"6810.03"
"E";"2023-09-02";"237.9362";"93.85";"0.13";"905.3031";"26.28";"474.69";"156";"253.5177";"4265.12";"6810.03"
"C";"2023-09-01";"237.6171";"93.73";"0.25";"905.3031";"26.25";"358.27";"19.3";"253.5177";"4265.12";"6810.03"
"C";"2023-08-31";"236.9783";"93.81";"0.02";"905.3031";"26.18";"186.37";"90.2";"252.611";"4265.12";"6810.03"
"E";"2023-08-30";"236.9262";"93.88";"0.02";"905.3031";"26.17";"127.55";"83.6";"252.3734";"4265.12";"6810.03"
"C";"2023-08-29";"236.8822";"93.86";"-0.09";"905.3031";"26.17";"83.77";"308.3";"252.3734";"4265.12";"6810.03"
"E";"2023-08-28";"237.1061";"93.95";"0.03";"905.3031";"26.19";"157.64";"95.2";"252.3734";"4265.12";"6810.03"
"C";"2023-08-27";"237.0301";"93.92";"0.19";"905.3031";"26.18";"488.95";"14.3";"252.3734";"4265.12";"6810.03"
"C";"2023-08-26";"236.5554";"93.73";"0.17";"905.3031";"26.13";"461.57";"13.5";"252.3734";"4265.12";"6810.03"
"C";"2023-08-25";"236.1212";"93.56";"0.09";"905.3031";"26.08";"229.21";"0.8";"252.3734";"4265.12";"6810.03"
"C";"2023-08-24";"235.8929";"93.47";"0.07";"905.3031";"26.06";"200.62";"15.9";"252.3734";"4265.12";"6810.03"
"C";"2023-08-23";"235.7082";"93.4";"0.08";"905.3031";"26.04";"217.69";"6.5";"252.3734";"4265.12";"6810.03"
"C";"2023-08-22";"235.4951";"93.31";"0.1";"905.3031";"26.01";"277.05";"33.8";"252.3734";"4265.12";"6810.03"
"C";"2023-08-21";"235.2454";"93.21";"0.17";"905.3031";"25.99";"470.5";"49.1";"252.3734";"4265.12";"6810.03"
"C";"2023-08-20";"234.8224";"93.05";"0.31";"905.3031";"25.94";"778.77";"4.1";"252.3738";"4265.12";"6810.03"
"C";"2023-08-19";"234.0466";"92.74";"0.36";"905.3031";"25.85";"938.42";"20";"252.3738";"4265.12";"6810.03"
"C";"2023-08-18";"233.1364";"92.38";"0.27";"905.3031";"25.75";"694.02";"1.7";"252.3738";"4265.12";"6810.03"
"C";"2023-08-17";"232.4445";"92.1";"0.3";"905.3031";"25.68";"767.46";"1.8";"252.3738";"4265.12";"6810.03"
"C";"2023-08-16";"231.6809";"91.79";"0.27";"905.3031";"25.59";"693.13";"0.8";"252.3977";"4265.12";"6810.03"
"C";"2023-08-15";"230.9889";"91.54";"0.27";"905.3031";"25.52";"670.81";"7.5";"252.3427";"4265.12";"6810.03"
"C";"2023-08-14";"230.3121";"91.85";"0.3";"905.3031";"25.44";"760.61";"1.8";"250.7427";"4265.12";"6810.03"
"C";"2023-08-13";"229.5482";"91.61";"0.44";"905.3031";"25.36";"1100.38";"9.3";"250.5627";"4265.12";"6810.03"
