,Date,Sun_energy
0,2010-01-01,332
1,2010-01-02,322
2,2010-01-03,163
3,2010-01-04,103
4,2010-01-05,165
5,2010-01-06,124
6,2010-01-07,156
7,2010-01-08,120
8,2010-01-09,88
9,2010-01-10,67
10,2010-01-11,36
11,2010-01-12,41
12,2010-01-13,33
13,2010-01-14,38
14,2010-01-15,57
15,2010-01-16,98
16,2010-01-17,67
17,2010-01-18,271
18,2010-01-19,663
19,2010-01-20,1154
20,2010-01-21,761
21,2010-01-22,1238
22,2010-01-23,1345
23,2010-01-24,2033
24,2010-01-25,2222
25,2010-01-26,3854
26,2010-01-27,2487
27,2010-01-28,1905
28,2010-01-29,997
29,2010-01-30,763
30,2010-01-31,3129
31,2010-02-01,1898
32,2010-02-02,2589
33,2010-02-03,2813
34,2010-02-04,1823
35,2010-02-05,5204
36,2010-02-06,2028
37,2010-02-07,1791
38,2010-02-08,1458
39,2010-02-09,3388
40,2010-02-10,968
41,2010-02-11,1181
42,2010-02-12,658
43,2010-02-13,966
44,2010-02-14,1439
45,2010-02-15,2053
46,2010-02-16,2346
47,2010-02-17,5954
48,2010-02-18,4907
49,2010-02-19,4239
50,2010-02-20,6830
51,2010-02-21,5428
52,2010-02-22,7054
53,2010-02-23,3316
54,2010-02-24,1884
55,2010-02-25,7363
56,2010-02-26,2765
57,2010-02-27,8018
58,2010-02-28,3768
59,2010-03-01,2764
60,2010-03-02,5938
61,2010-03-03,6188
62,2010-03-04,9116
63,2010-03-05,4653
64,2010-03-06,8660
65,2010-03-07,10429
66,2010-03-08,7530
67,2010-03-09,12020
68,2010-03-10,11923
69,2010-03-11,9774
70,2010-03-12,2160
71,2010-03-13,2455
72,2010-03-14,3251
73,2010-03-15,5330
74,2010-03-16,5519
75,2010-03-17,4866
76,2010-03-18,11184
77,2010-03-19,7729
78,2010-03-20,3020
79,2010-03-21,4911
80,2010-03-22,11313
81,2010-03-23,9998
82,2010-03-24,12408
83,2010-03-25,13709
84,2010-03-26,11721
85,2010-03-27,5081
86,2010-03-28,5136
87,2010-03-29,4876
88,2010-03-30,9076
89,2010-03-31,5551
90,2010-04-01,12736
91,2010-04-02,12701
92,2010-04-03,11856
93,2010-04-04,5997
94,2010-04-05,5022
95,2010-04-06,12072
96,2010-04-07,16897
97,2010-04-08,13343
98,2010-04-09,9353
99,2010-04-10,8907
100,2010-04-11,4970
101,2010-04-12,9903
102,2010-04-13,15098
103,2010-04-14,8327
104,2010-04-15,9771
105,2010-04-16,12856
106,2010-04-17,17149
107,2010-04-18,18275
108,2010-04-19,17305
109,2010-04-20,15653
110,2010-04-21,11885
111,2010-04-22,12586
112,2010-04-23,17778
113,2010-04-24,16721
114,2010-04-25,17806
115,2010-04-26,11249
116,2010-04-27,10685
117,2010-04-28,16628
118,2010-04-29,15754
119,2010-04-30,11230
120,2010-05-01,8870
121,2010-05-02,12050
122,2010-05-03,5058
123,2010-05-04,7053
124,2010-05-05,18038
125,2010-05-06,3501
126,2010-05-07,5987
127,2010-05-08,8631
128,2010-05-09,9936
129,2010-05-10,9559
130,2010-05-11,5465
131,2010-05-12,9246
132,2010-05-13,6636
133,2010-05-14,3964
134,2010-05-15,4051
135,2010-05-16,9544
136,2010-05-17,13776
137,2010-05-18,8665
138,2010-05-19,5253
139,2010-05-20,5574
140,2010-05-21,11501
141,2010-05-22,13028
142,2010-05-23,11913
143,2010-05-24,10439
144,2010-05-25,13244
145,2010-05-26,16416
146,2010-05-27,8243
147,2010-05-28,8942
148,2010-05-29,15740
149,2010-05-30,9573
150,2010-05-31,3932
151,2010-06-01,6417
152,2010-06-02,6490
153,2010-06-03,12191
154,2010-06-04,19500
155,2010-06-05,20864
156,2010-06-06,18631
157,2010-06-07,15650
158,2010-06-08,17091
159,2010-06-09,21694
160,2010-06-10,19074
161,2010-06-11,20273
162,2010-06-12,10040
163,2010-06-13,17289
164,2010-06-14,13347
165,2010-06-15,13929
166,2010-06-16,26149
167,2010-06-17,26339
168,2010-06-18,23158
169,2010-06-19,13884
170,2010-06-20,18345
171,2010-06-21,17681
172,2010-06-22,18812
173,2010-06-23,17727
174,2010-06-24,21792
175,2010-06-25,19191
176,2010-06-26,21311
177,2010-06-27,26977
178,2010-06-28,28026
179,2010-06-29,22587
180,2010-06-30,22422
181,2010-07-01,22494
182,2010-07-02,24238
183,2010-07-03,25831
184,2010-07-04,23685
185,2010-07-05,16932
186,2010-07-06,16712
187,2010-07-07,24502
188,2010-07-08,25964
189,2010-07-09,26198
190,2010-07-10,25002
191,2010-07-11,24276
192,2010-07-12,23839
193,2010-07-13,16662
194,2010-07-14,24233
195,2010-07-15,17195
196,2010-07-16,24965
197,2010-07-17,13202
198,2010-07-18,13017
199,2010-07-19,23456
200,2010-07-20,22168
201,2010-07-21,24325
202,2010-07-22,17004
203,2010-07-23,5044
204,2010-07-24,9547
205,2010-07-25,16198
206,2010-07-26,11433
207,2010-07-27,21632
208,2010-07-28,15986
209,2010-07-29,18816
210,2010-07-30,19537
211,2010-07-31,24479
212,2010-08-01,22499
213,2010-08-02,13345
214,2010-08-03,7987
215,2010-08-04,21494
216,2010-08-05,20579
217,2010-08-06,12336
218,2010-08-07,9371
